addr	value	ascii
0x06cd	0x00	 
0x06ce	0x00	 
0x06cf	0x00	 
0x06d0	0x00	 
0x06d1	0x00	 
0x06d2	0x00	 
0x06d3	0x00	 
0x06d4	0x00	 
0x06d5	0x00	 
0x06d6	0x00	 
0x06d7	0x00	 
0x06d8	0x00	 
0x06d9	0x00	 
0x06da	0x3d	=
0x06db	0xe3	 
0x06dc	0x33	3
0x06dd	0x3f	?
0x06de	0x03	 
0x06df	0x34	4
0x06e0	0x41	A
0x06e1	0x23	#
0x06e2	0x34	4
0x06e3	0x43	C
0x06e4	0x43	C
0x06e5	0x34	4
0x06e6	0x45	E
0x06e7	0x63	c
0x06e8	0x34	4
0x06e9	0x47	G
0x06ea	0x83	 
0x06eb	0x34	4
0x06ec	0x49	I
0x06ed	0xa3	 
0x06ee	0x34	4
0x06ef	0x4b	K
0x06f0	0xc3	 
0x06f1	0x34	4
0x06f2	0x4d	M
0x06f3	0xe3	 
0x06f4	0x34	4
0x06f5	0x4f	O
0x06f6	0x03	 
0x06f7	0x35	5
0x06f8	0x51	Q
0x06f9	0x23	#
0x06fa	0x35	5
0x06fb	0x53	S
0x06fc	0x43	C
0x06fd	0x35	5
0x06fe	0x55	U
0x06ff	0x63	c
0x0700	0x35	5
0x0701	0x57	W
0x0702	0x83	 
0x0703	0x35	5
0x0704	0x59	Y
0x0705	0xa3	 
0x0706	0x35	5
0x0707	0x5b	[
0x0708	0xc3	 
0x0709	0x35	5
0x070a	0x5d	]
0x070b	0xe3	 
0x070c	0x35	5
0x070d	0x5f	_
0x070e	0x03	 
0x070f	0x36	6
0x0710	0x61	a
0x0711	0x23	#
0x0712	0x36	6
0x0713	0x63	c
0x0714	0x43	C
0x0715	0x36	6
0x0716	0x65	e
0x0717	0x63	c
0x0718	0x36	6
0x0719	0x67	g
0x071a	0x83	 
0x071b	0x36	6
0x071c	0x69	i
0x071d	0xa3	 
0x071e	0x36	6
0x071f	0x6b	k
0x0720	0xc3	 
0x0721	0x36	6
0x0722	0x6d	m
0x0723	0xe3	 
0x0724	0x36	6
0x0725	0x6f	o
0x0726	0x03	 
0x0727	0x37	7
0x0728	0x71	q
0x0729	0x23	#
0x072a	0x37	7
0x072b	0x73	s
0x072c	0x43	C
0x072d	0x37	7
0x072e	0x75	u
0x072f	0x63	c
0x0730	0x37	7
0x0731	0x77	w
0x0732	0x83	 
0x0733	0x37	7
0x0734	0x79	y
0x0735	0xa3	 
0x0736	0x37	7
0x0737	0x7b	{
0x0738	0xc3	 
0x0739	0x37	7
0x073a	0x7d	}
0x073b	0xe3	 
0x073c	0x37	7
0x073d	0x7f	 
0x073e	0x03	 
0x073f	0x38	8
0x0740	0x81	 
0x0741	0x23	#
0x0742	0x38	8
0x0743	0x83	 
0x0744	0x43	C
0x0745	0x38	8
0x0746	0x85	 
0x0747	0x63	c
0x0748	0x38	8
0x0749	0x87	 
0x074a	0x83	 
0x074b	0x38	8
0x074c	0x89	 
0x074d	0xa3	 
0x074e	0x38	8
0x074f	0x8b	 
0x0750	0xc3	 
0x0751	0x38	8
0x0752	0x8d	 
0x0753	0xe3	 
0x0754	0x38	8
0x0755	0x8f	 
0x0756	0x03	 
0x0757	0x39	9
0x0758	0x91	 
0x0759	0x23	#
0x075a	0x39	9
0x075b	0x93	 
0x075c	0x43	C
0x075d	0x39	9
0x075e	0x95	 
0x075f	0x63	c
0x0760	0x39	9
0x0761	0x97	 
0x0762	0x83	 
0x0763	0x39	9
0x0764	0x99	 
0x0765	0xa3	 
0x0766	0x39	9
0x0767	0x9b	 
0x0768	0xc3	 
0x0769	0x39	9
0x076a	0x9d	 
0x076b	0xe3	 
0x076c	0x39	9
0x076d	0x9f	 
0x076e	0x03	 
0x076f	0x3a	:
0x0770	0xa1	 
0x0771	0x23	#
0x0772	0x3a	:
0x0773	0xa3	 
0x0774	0x43	C
0x0775	0x3a	:
0x0776	0xa5	 
0x0777	0x63	c
0x0778	0x3a	:
0x0779	0xa7	 
0x077a	0x83	 
0x077b	0x3a	:
0x077c	0xa9	 
0x077d	0xa3	 
0x077e	0x3a	:
0x077f	0xab	 
0x0780	0xc3	 
0x0781	0x3a	:
0x0782	0xad	 
0x0783	0xe3	 
0x0784	0x3a	:
0x0785	0xaf	 
0x0786	0x03	 
0x0787	0x3b	;
0x0788	0xb1	 
0x0789	0x23	#
0x078a	0x3b	;
0x078b	0xb3	 
0x078c	0x43	C
0x078d	0x3b	;
0x078e	0xb5	 
0x078f	0x63	c
0x0790	0x3b	;
0x0791	0xb7	 
0x0792	0x83	 
0x0793	0x3b	;
0x0794	0xb9	 
0x0795	0xa3	 
0x0796	0x3b	;
0x0797	0xbb	 
0x0798	0xc3	 
0x0799	0x3b	;
0x079a	0xbd	 
0x079b	0xe3	 
0x079c	0x3b	;
0x079d	0xbf	 
0x079e	0x03	 
0x079f	0x3c	<
0x07a0	0xc1	 
0x07a1	0x23	#
0x07a2	0x3c	<
0x07a3	0xc3	 
0x07a4	0x43	C
0x07a5	0x3c	<
0x07a6	0xc5	 
0x07a7	0x63	c
0x07a8	0x3c	<
0x07a9	0xc7	 
0x07aa	0x83	 
0x07ab	0x3c	<
0x07ac	0xc9	 
0x07ad	0xa3	 
0x07ae	0x3c	<
0x07af	0xcb	 
0x07b0	0xc3	 
0x07b1	0x3c	<
0x07b2	0xcd	 
0x07b3	0xe3	 
0x07b4	0x3c	<
0x07b5	0xcf	 
0x07b6	0x03	 
0x07b7	0x3d	=
0x07b8	0xd1	 
0x07b9	0x23	#
0x07ba	0x3d	=
0x07bb	0xd3	 
0x07bc	0x43	C
0x07bd	0x3d	=
0x07be	0xd5	 
0x07bf	0x63	c
0x07c0	0x3d	=
0x07c1	0xd7	 
0x07c2	0x83	 
0x07c3	0x3d	=
0x07c4	0xd9	 
0x07c5	0xa3	 
0x07c6	0x3d	=
0x07c7	0xdb	 
0x07c8	0xc3	 
0x07c9	0x3d	=
0x07ca	0xdd	 
0x07cb	0xe3	 
0x07cc	0x3d	=
0x07cd	0xdf	 
0x07ce	0x03	 
0x07cf	0x3e	>
0x07d0	0xe1	 
0x07d1	0x23	#
0x07d2	0x3e	>
0x07d3	0xe3	 
0x07d4	0x43	C
0x07d5	0x3e	>
0x07d6	0xe5	 
0x07d7	0x63	c
0x07d8	0x3e	>
0x07d9	0xe7	 
0x07da	0x83	 
0x07db	0x3e	>
0x07dc	0xe9	 
0x07dd	0xa3	 
0x07de	0x3e	>
0x07df	0xeb	 
0x07e0	0xc3	 
0x07e1	0x3e	>
0x07e2	0xed	 
0x07e3	0xe3	 
0x07e4	0x3e	>
0x07e5	0xef	 
0x07e6	0x03	 
0x07e7	0x3f	?
0x07e8	0xf1	 
0x07e9	0x23	#
0x07ea	0x3f	?
0x07eb	0xf3	 
0x07ec	0x43	C
0x07ed	0x3f	?
0x07ee	0xf5	 
0x07ef	0x63	c
0x07f0	0x3f	?
0x07f1	0xf7	 
0x07f2	0x83	 
0x07f3	0x3f	?
0x07f4	0xf9	 
0x07f5	0xa3	 
0x07f6	0x3f	?
0x07f7	0xfb	 
0x07f8	0xc3	 
0x07f9	0x3f	?
0x07fa	0xfd	 
0x07fb	0xe3	 
0x07fc	0x3f	?
0x07fd	0xff	 
0x07fe	0x03	 
0x07ff	0x40	@
0x0800	0x01	 
0x0801	0x24	$
0x0802	0x40	@
0x0803	0x03	 
0x0804	0x44	D
0x0805	0x40	@
0x0806	0x05	 
0x0807	0x64	d
0x0808	0x40	@
0x0809	0x07	 
0x080a	0x84	 
0x080b	0x40	@
0x080c	0x09	 
0x080d	0xa4	 
0x080e	0x40	@
0x080f	0x0b	 
0x0810	0xc4	 
0x0811	0x40	@
0x0812	0x0d	 
0x0813	0xe4	 
0x0814	0x40	@
0x0815	0x0f	 
0x0816	0x04	 
0x0817	0x41	A
0x0818	0x11	 
0x0819	0x24	$
0x081a	0x41	A
0x081b	0x13	 
0x081c	0x44	D
0x081d	0x41	A
0x081e	0x15	 
0x081f	0x64	d
0x0820	0x41	A
0x0821	0x17	 
0x0822	0x84	 
0x0823	0x41	A
0x0824	0x19	 
0x0825	0xa4	 
0x0826	0x41	A
0x0827	0x1b	 
0x0828	0xc4	 
0x0829	0x41	A
0x082a	0x1d	 
0x082b	0xe4	 
0x082c	0x41	A
0x082d	0x1f	 
0x082e	0x04	 
0x082f	0x42	B
0x0830	0x21	!
0x0831	0x24	$
0x0832	0x42	B
0x0833	0x23	#
0x0834	0x44	D
0x0835	0x42	B
0x0836	0x25	%
0x0837	0x64	d
0x0838	0x42	B
0x0839	0x27	'
0x083a	0x84	 
0x083b	0x42	B
0x083c	0x29	)
0x083d	0xa4	 
0x083e	0x42	B
0x083f	0x2b	+
0x0840	0xc4	 
0x0841	0x42	B
0x0842	0x2d	-
0x0843	0xe4	 
0x0844	0x42	B
0x0845	0x2f	/
0x0846	0x04	 
0x0847	0x43	C
0x0848	0x31	1
0x0849	0x24	$
0x084a	0x43	C
0x084b	0x33	3
0x084c	0x44	D
0x084d	0x43	C
0x084e	0x35	5
0x084f	0x64	d
0x0850	0x43	C
0x0851	0x37	7
0x0852	0x84	 
0x0853	0x43	C
0x0854	0x39	9
0x0855	0xa4	 
0x0856	0x43	C
0x0857	0x3b	;
0x0858	0xc4	 
0x0859	0x43	C
0x085a	0x3d	=
0x085b	0xe4	 
0x085c	0x43	C
0x085d	0x3f	?
0x085e	0xf4	 
0x085f	0xff	 
0x0860	0x41	A
0x0861	0x24	$
0x0862	0x44	D
0x0863	0x43	C
0x0864	0x44	D
0x0865	0x44	D
0x0866	0x45	E
0x0867	0x64	d
0x0868	0x44	D
0x0869	0x47	G
0x086a	0x84	 
0x086b	0x44	D
0x086c	0x49	I
0x086d	0xa4	 
0x086e	0x44	D
0x086f	0x4b	K
0x0870	0xc4	 
0x0871	0x44	D
0x0872	0x4d	M
0x0873	0xe4	 
0x0874	0x44	D
0x0875	0x4f	O
0x0876	0x04	 
0x0877	0x45	E
0x0878	0x51	Q
0x0879	0x24	$
0x087a	0x45	E
0x087b	0x53	S
0x087c	0x44	D
0x087d	0x45	E
0x087e	0x55	U
0x087f	0x64	d
0x0880	0x45	E
0x0881	0x57	W
0x0882	0x84	 
0x0883	0x45	E
0x0884	0x59	Y
0x0885	0xa4	 
0x0886	0x45	E
0x0887	0x5b	[
0x0888	0xc4	 
0x0889	0x45	E
0x088a	0x5d	]
0x088b	0xe4	 
0x088c	0x45	E
0x088d	0x5f	_
0x088e	0x04	 
0x088f	0x46	F
0x0890	0x61	a
0x0891	0x24	$
0x0892	0x46	F
0x0893	0x63	c
0x0894	0x44	D
0x0895	0x46	F
0x0896	0x65	e
0x0897	0x64	d
0x0898	0x46	F
0x0899	0x67	g
0x089a	0x84	 
0x089b	0x46	F
0x089c	0x69	i
0x089d	0xa4	 
0x089e	0x46	F
0x089f	0x6b	k
0x08a0	0xc4	 
0x08a1	0x46	F
0x08a2	0x6d	m
0x08a3	0xe4	 
0x08a4	0x46	F
0x08a5	0x6f	o
0x08a6	0x04	 
0x08a7	0x47	G
0x08a8	0x71	q
0x08a9	0x24	$
0x08aa	0x47	G
0x08ab	0x73	s
0x08ac	0x44	D
0x08ad	0x47	G
0x08ae	0x75	u
0x08af	0x64	d
0x08b0	0x47	G
0x08b1	0x77	w
0x08b2	0x84	 
0x08b3	0x47	G
0x08b4	0x79	y
0x08b5	0xa4	 
0x08b6	0x47	G
0x08b7	0x7b	{
0x08b8	0xc4	 
0x08b9	0x47	G
0x08ba	0x7d	}
0x08bb	0xe4	 
0x08bc	0x47	G
0x08bd	0x7f	 
0x08be	0x04	 
0x08bf	0x48	H
0x08c0	0x81	 
0x08c1	0x24	$
0x08c2	0x48	H
0x08c3	0x83	 
0x08c4	0x44	D
0x08c5	0x48	H
0x08c6	0x85	 
0x08c7	0x64	d
0x08c8	0x48	H
0x08c9	0x87	 
0x08ca	0x84	 
0x08cb	0x48	H
0x08cc	0x89	 
0x08cd	0xa4	 
0x08ce	0x48	H
0x08cf	0x8b	 
0x08d0	0xc4	 
0x08d1	0x48	H
0x08d2	0x8d	 
0x08d3	0xe4	 
0x08d4	0x48	H
0x08d5	0x8f	 
0x08d6	0x04	 
0x08d7	0x49	I
0x08d8	0x91	 
0x08d9	0x24	$
0x08da	0x49	I
0x08db	0x93	 
0x08dc	0x44	D
0x08dd	0x49	I
0x08de	0x95	 
0x08df	0x64	d
0x08e0	0x49	I
0x08e1	0x97	 
0x08e2	0x84	 
0x08e3	0x49	I
0x08e4	0x99	 
0x08e5	0xa4	 
0x08e6	0x49	I
0x08e7	0x9b	 
0x08e8	0xc4	 
0x08e9	0x49	I
0x08ea	0x9d	 
0x08eb	0xe4	 
0x08ec	0x49	I
0x08ed	0x9f	 
0x08ee	0x04	 
0x08ef	0x4a	J
0x08f0	0xa1	 
0x08f1	0x24	$
0x08f2	0x4a	J
0x08f3	0xa3	 
0x08f4	0x44	D
0x08f5	0x4a	J
0x08f6	0xa5	 
0x08f7	0x64	d
0x08f8	0x4a	J
0x08f9	0xa7	 
0x08fa	0x84	 
0x08fb	0x4a	J
0x08fc	0xa9	 
0x08fd	0xa4	 
0x08fe	0x4a	J
0x08ff	0xab	 
0x0900	0xc4	 
0x0901	0x4a	J
0x0902	0xad	 
0x0903	0xe4	 
0x0904	0x4a	J
0x0905	0xaf	 
0x0906	0x04	 
0x0907	0x4b	K
0x0908	0xb1	 
0x0909	0x24	$
0x090a	0x4b	K
0x090b	0xb3	 
0x090c	0x44	D
0x090d	0x4b	K
0x090e	0xb5	 
0x090f	0x64	d
0x0910	0x4b	K
0x0911	0xb7	 
0x0912	0x84	 
0x0913	0x4b	K
0x0914	0xb9	 
0x0915	0xa4	 
0x0916	0x4b	K
0x0917	0xbb	 
0x0918	0xc4	 
0x0919	0x4b	K
0x091a	0xbd	 
0x091b	0xe4	 
0x091c	0x4b	K
0x091d	0xbf	 
0x091e	0x04	 
0x091f	0x4c	L
0x0920	0xc1	 
0x0921	0x24	$
0x0922	0x4c	L
0x0923	0xc3	 
0x0924	0x44	D
0x0925	0x4c	L
0x0926	0xc5	 
0x0927	0x64	d
0x0928	0x4c	L
0x0929	0xc7	 
0x092a	0x84	 
0x092b	0x4c	L
0x092c	0xc9	 
0x092d	0xa4	 
0x092e	0x4c	L
0x092f	0xcb	 
0x0930	0xc4	 
0x0931	0x4c	L
0x0932	0xcd	 
0x0933	0xe4	 
0x0934	0x4c	L
0x0935	0xcf	 
0x0936	0x04	 
0x0937	0x4d	M
0x0938	0xd1	 
0x0939	0x24	$
0x093a	0x4d	M
0x093b	0xd3	 
0x093c	0x44	D
0x093d	0x4d	M
0x093e	0xd5	 
0x093f	0x64	d
0x0940	0x4d	M
0x0941	0xd7	 
0x0942	0x84	 
0x0943	0x4d	M
0x0944	0xd9	 
0x0945	0xa4	 
0x0946	0x4d	M
0x0947	0xdb	 
0x0948	0xc4	 
0x0949	0x4d	M
0x094a	0xdd	 
0x094b	0xe4	 
0x094c	0x4d	M
0x094d	0xdf	 
0x094e	0x04	 
0x094f	0x4e	N
0x0950	0xe1	 
0x0951	0x24	$
0x0952	0x4e	N
0x0953	0xe3	 
0x0954	0x44	D
0x0955	0x4e	N
0x0956	0xe5	 
0x0957	0x64	d
0x0958	0x4e	N
0x0959	0xe7	 
0x095a	0x84	 
0x095b	0x4e	N
0x095c	0xe9	 
0x095d	0xa4	 
0x095e	0x4e	N
0x095f	0xeb	 
0x0960	0xc4	 
0x0961	0x4e	N
0x0962	0xed	 
0x0963	0xe4	 
0x0964	0x4e	N
0x0965	0xef	 
0x0966	0x04	 
0x0967	0x4f	O
0x0968	0xf1	 
0x0969	0x24	$
0x096a	0x4f	O
0x096b	0xf3	 
0x096c	0x44	D
0x096d	0x4f	O
0x096e	0xf5	 
0x096f	0x64	d
0x0970	0x4f	O
0x0971	0xf7	 
0x0972	0x84	 
0x0973	0x4f	O
0x0974	0xf9	 
0x0975	0xa4	 
0x0976	0x4f	O
0x0977	0xfb	 
0x0978	0xc4	 
0x0979	0x4f	O
0x097a	0xfd	 
0x097b	0xe4	 
0x097c	0x4f	O
0x097d	0xff	 
0x097e	0x04	 
0x097f	0x50	P
0x0980	0x01	 
0x0981	0x25	%
0x0982	0x50	P
0x0983	0x03	 
0x0984	0x45	E
0x0985	0x50	P
0x0986	0x05	 
0x0987	0x65	e
0x0988	0x50	P
0x0989	0x07	 
0x098a	0x85	 
0x098b	0x50	P
0x098c	0x09	 
0x098d	0xa5	 
0x098e	0x50	P
0x098f	0x0b	 
0x0990	0xc5	 
0x0991	0x50	P
0x0992	0x0d	 
0x0993	0xe5	 
0x0994	0x50	P
0x0995	0x0f	 
0x0996	0x05	 
0x0997	0x51	Q
0x0998	0x11	 
0x0999	0x25	%
0x099a	0x51	Q
0x099b	0x13	 
0x099c	0x45	E
0x099d	0x51	Q
0x099e	0x15	 
0x099f	0x65	e
0x09a0	0x51	Q
0x09a1	0x17	 
0x09a2	0x85	 
0x09a3	0x51	Q
0x09a4	0x19	 
0x09a5	0xa5	 
0x09a6	0x51	Q
0x09a7	0x1b	 
0x09a8	0xc5	 
0x09a9	0x51	Q
0x09aa	0x1d	 
0x09ab	0xe5	 
0x09ac	0x51	Q
0x09ad	0x1f	 
0x09ae	0x05	 
0x09af	0x52	R
0x09b0	0x21	!
0x09b1	0x25	%
0x09b2	0x52	R
0x09b3	0x23	#
0x09b4	0x45	E
0x09b5	0x52	R
0x09b6	0x25	%
0x09b7	0x65	e
0x09b8	0x52	R
0x09b9	0x27	'
0x09ba	0x85	 
0x09bb	0x52	R
0x09bc	0x29	)
0x09bd	0xa5	 
0x09be	0x52	R
0x09bf	0x2b	+
0x09c0	0xc5	 
0x09c1	0x52	R
0x09c2	0x2d	-
0x09c3	0xe5	 
0x09c4	0x52	R
0x09c5	0x2f	/
0x09c6	0x05	 
0x09c7	0x53	S
0x09c8	0x31	1
0x09c9	0x25	%
0x09ca	0x53	S
0x09cb	0x33	3
0x09cc	0x45	E
0x09cd	0x53	S
0x09ce	0x35	5
0x09cf	0x65	e
0x09d0	0x53	S
0x09d1	0x37	7
0x09d2	0x85	 
0x09d3	0x53	S
0x09d4	0x39	9
0x09d5	0xa5	 
0x09d6	0x53	S
0x09d7	0x3b	;
0x09d8	0xc5	 
0x09d9	0x53	S
0x09da	0x3d	=
0x09db	0xe5	 
0x09dc	0x53	S
0x09dd	0x3f	?
0x09de	0x05	 
0x09df	0x54	T
0x09e0	0x41	A
0x09e1	0x25	%
0x09e2	0x54	T
0x09e3	0x43	C
0x09e4	0x45	E
0x09e5	0x54	T
0x09e6	0x45	E
0x09e7	0x65	e
0x09e8	0x54	T
0x09e9	0x47	G
0x09ea	0x85	 
0x09eb	0x54	T
0x09ec	0x49	I
0x09ed	0xa5	 
0x09ee	0x54	T
0x09ef	0x4b	K
0x09f0	0xc5	 
0x09f1	0x54	T
0x09f2	0x4d	M
0x09f3	0xe5	 
0x09f4	0x54	T
0x09f5	0x4f	O
0x09f6	0x05	 
0x09f7	0x55	U
0x09f8	0x51	Q
0x09f9	0x25	%
0x09fa	0x55	U
0x09fb	0x53	S
0x09fc	0x45	E
0x09fd	0x55	U
0x09fe	0x55	U
0x09ff	0x65	e
0x0a00	0x55	U
0x0a01	0x57	W
0x0a02	0x85	 
0x0a03	0x55	U
0x0a04	0x59	Y
0x0a05	0xa5	 
0x0a06	0x55	U
0x0a07	0x5b	[
0x0a08	0xc5	 
0x0a09	0x55	U
0x0a0a	0x5d	]
0x0a0b	0xe5	 
0x0a0c	0x55	U
0x0a0d	0x5f	_
0x0a0e	0x05	 
0x0a0f	0x56	V
0x0a10	0x61	a
0x0a11	0x25	%
0x0a12	0x56	V
0x0a13	0x63	c
0x0a14	0x45	E
0x0a15	0x56	V
0x0a16	0x65	e
0x0a17	0x65	e
0x0a18	0x56	V
0x0a19	0x67	g
0x0a1a	0x85	 
0x0a1b	0x56	V
0x0a1c	0x69	i
0x0a1d	0xa5	 
0x0a1e	0x56	V
0x0a1f	0x6b	k
0x0a20	0xc5	 
0x0a21	0x56	V
0x0a22	0x6d	m
0x0a23	0xe5	 
0x0a24	0x56	V
0x0a25	0x6f	o
0x0a26	0x05	 
0x0a27	0x57	W
0x0a28	0x71	q
0x0a29	0x25	%
0x0a2a	0x57	W
0x0a2b	0x73	s
0x0a2c	0x45	E
0x0a2d	0x57	W
0x0a2e	0x75	u
0x0a2f	0x65	e
0x0a30	0x57	W
0x0a31	0x77	w
0x0a32	0x85	 
0x0a33	0x57	W
0x0a34	0x79	y
0x0a35	0xa5	 
0x0a36	0x57	W
0x0a37	0x7b	{
0x0a38	0xc5	 
0x0a39	0x57	W
0x0a3a	0x7d	}
0x0a3b	0xe5	 
0x0a3c	0x57	W
0x0a3d	0x7f	 
0x0a3e	0x05	 
0x0a3f	0x58	X
0x0a40	0x81	 
0x0a41	0x25	%
0x0a42	0x58	X
0x0a43	0x83	 
0x0a44	0x45	E
0x0a45	0x58	X
0x0a46	0x85	 
0x0a47	0x65	e
0x0a48	0x58	X
0x0a49	0x87	 
0x0a4a	0x85	 
0x0a4b	0x58	X
0x0a4c	0x89	 
0x0a4d	0xa5	 
0x0a4e	0x58	X
0x0a4f	0x8b	 
0x0a50	0xc5	 
0x0a51	0x58	X
0x0a52	0x8d	 
0x0a53	0xe5	 
0x0a54	0x58	X
0x0a55	0x8f	 
0x0a56	0x05	 
0x0a57	0x59	Y
0x0a58	0x91	 
0x0a59	0x25	%
0x0a5a	0x59	Y
0x0a5b	0x93	 
0x0a5c	0x45	E
0x0a5d	0x59	Y
0x0a5e	0x95	 
0x0a5f	0x65	e
0x0a60	0x59	Y
0x0a61	0x97	 
0x0a62	0x85	 
0x0a63	0x59	Y
0x0a64	0x99	 
0x0a65	0xa5	 
0x0a66	0x59	Y
0x0a67	0x9b	 
0x0a68	0xc5	 
0x0a69	0x59	Y
0x0a6a	0x9d	 
0x0a6b	0xe5	 
0x0a6c	0x59	Y
0x0a6d	0x9f	 
0x0a6e	0x05	 
0x0a6f	0x5a	Z
0x0a70	0xa1	 
0x0a71	0x25	%
0x0a72	0x5a	Z
0x0a73	0xa3	 
0x0a74	0x45	E
0x0a75	0x5a	Z
0x0a76	0xa5	 
0x0a77	0x65	e
0x0a78	0x5a	Z
0x0a79	0xa7	 
0x0a7a	0x85	 
0x0a7b	0x5a	Z
0x0a7c	0xa9	 
0x0a7d	0xa5	 
0x0a7e	0x5a	Z
0x0a7f	0xab	 
0x0a80	0xc5	 
0x0a81	0x5a	Z
0x0a82	0xad	 
0x0a83	0xe5	 
0x0a84	0x5a	Z
0x0a85	0xaf	 
0x0a86	0x05	 
0x0a87	0x5b	[
0x0a88	0xb1	 
0x0a89	0x25	%
0x0a8a	0x5b	[
0x0a8b	0xb3	 
0x0a8c	0x45	E
0x0a8d	0x5b	[
0x0a8e	0xb5	 
0x0a8f	0x65	e
0x0a90	0x5b	[
0x0a91	0xb7	 
0x0a92	0x85	 
0x0a93	0x5b	[
0x0a94	0xb9	 
0x0a95	0xa5	 
0x0a96	0x5b	[
0x0a97	0xbb	 
0x0a98	0xc5	 
0x0a99	0x5b	[
0x0a9a	0xbd	 
0x0a9b	0xe5	 
0x0a9c	0x5b	[
0x0a9d	0xbf	 
0x0a9e	0x05	 
0x0a9f	0x5c	\
0x0aa0	0xc1	 
0x0aa1	0x25	%
0x0aa2	0x5c	\
0x0aa3	0xc3	 
0x0aa4	0x45	E
0x0aa5	0x5c	\
0x0aa6	0xc5	 
0x0aa7	0x65	e
0x0aa8	0x5c	\
0x0aa9	0xc7	 
0x0aaa	0x85	 
0x0aab	0x5c	\
0x0aac	0xc9	 
0x0aad	0xa5	 
0x0aae	0x5c	\
0x0aaf	0xcb	 
0x0ab0	0xc5	 
0x0ab1	0x5c	\
0x0ab2	0xcd	 
0x0ab3	0xe5	 
0x0ab4	0x5c	\
0x0ab5	0xcf	 
0x0ab6	0x05	 
0x0ab7	0x5d	]
0x0ab8	0xd1	 
0x0ab9	0x25	%
0x0aba	0x5d	]
0x0abb	0xd3	 
0x0abc	0x45	E
0x0abd	0x5d	]
0x0abe	0xd5	 
0x0abf	0x65	e
0x0ac0	0x5d	]
0x0ac1	0xd7	 
0x0ac2	0x85	 
0x0ac3	0x5d	]
0x0ac4	0xd9	 
0x0ac5	0xa5	 
0x0ac6	0x5d	]
0x0ac7	0xdb	 
0x0ac8	0xc5	 
0x0ac9	0x5d	]
0x0aca	0xdd	 
0x0acb	0xe5	 
0x0acc	0x5d	]
0x0acd	0xdf	 
0x0ace	0x05	 
0x0acf	0x5e	^
0x0ad0	0xe1	 
0x0ad1	0x25	%
0x0ad2	0x5e	^
0x0ad3	0xe3	 
0x0ad4	0x45	E
0x0ad5	0x5e	^
0x0ad6	0xe5	 
0x0ad7	0x65	e
0x0ad8	0x5e	^
0x0ad9	0xe7	 
0x0ada	0x85	 
0x0adb	0x5e	^
0x0adc	0xe9	 
0x0add	0xa5	 
0x0ade	0x5e	^
0x0adf	0xeb	 
0x0ae0	0xc5	 
0x0ae1	0x5e	^
0x0ae2	0xed	 
0x0ae3	0xe5	 
0x0ae4	0x5e	^
0x0ae5	0xef	 
0x0ae6	0x05	 
0x0ae7	0x5f	_
0x0ae8	0xf1	 
0x0ae9	0x25	%
0x0aea	0x5f	_
0x0aeb	0xf3	 
0x0aec	0x45	E
0x0aed	0x5f	_
0x0aee	0xf5	 
0x0aef	0x65	e
0x0af0	0x5f	_
0x0af1	0xf7	 
0x0af2	0x85	 
0x0af3	0x5f	_
0x0af4	0xf9	 
0x0af5	0xa5	 
0x0af6	0x5f	_
0x0af7	0xfb	 
0x0af8	0xc5	 
0x0af9	0x5f	_
0x0afa	0xfd	 
0x0afb	0xe5	 
0x0afc	0x5f	_
0x0afd	0xff	 
0x0afe	0x05	 
0x0aff	0x60	`
0x0b00	0x01	 
0x0b01	0x26	&
0x0b02	0x60	`
0x0b03	0x03	 
0x0b04	0x46	F
0x0b05	0x60	`
0x0b06	0x05	 
0x0b07	0x66	f
0x0b08	0x60	`
0x0b09	0x07	 
0x0b0a	0x86	 
0x0b0b	0x60	`
0x0b0c	0x09	 
0x0b0d	0xa6	 
0x0b0e	0x60	`
0x0b0f	0x0b	 
0x0b10	0xc6	 
0x0b11	0x60	`
0x0b12	0x0d	 
0x0b13	0xe6	 
0x0b14	0x60	`
0x0b15	0x0f	 
0x0b16	0x06	 
0x0b17	0x61	a
0x0b18	0x11	 
0x0b19	0x26	&
0x0b1a	0x61	a
0x0b1b	0x13	 
0x0b1c	0x46	F
0x0b1d	0x61	a
0x0b1e	0x15	 
0x0b1f	0x66	f
0x0b20	0x61	a
0x0b21	0x17	 
0x0b22	0x86	 
0x0b23	0x61	a
0x0b24	0x19	 
0x0b25	0xa6	 
0x0b26	0x61	a
0x0b27	0x1b	 
0x0b28	0xc6	 
0x0b29	0x61	a
0x0b2a	0x1d	 
0x0b2b	0xe6	 
0x0b2c	0x61	a
0x0b2d	0x1f	 
0x0b2e	0x06	 
0x0b2f	0x62	b
0x0b30	0x21	!
0x0b31	0x26	&
0x0b32	0x62	b
0x0b33	0x23	#
0x0b34	0x46	F
0x0b35	0x62	b
0x0b36	0x25	%
0x0b37	0x66	f
0x0b38	0x62	b
0x0b39	0x27	'
0x0b3a	0x86	 
0x0b3b	0x62	b
0x0b3c	0x29	)
0x0b3d	0xa6	 
0x0b3e	0x62	b
0x0b3f	0x2b	+
0x0b40	0xc6	 
0x0b41	0x62	b
0x0b42	0x2d	-
0x0b43	0xe6	 
0x0b44	0x62	b
0x0b45	0x2f	/
0x0b46	0x06	 
0x0b47	0x63	c
0x0b48	0x31	1
0x0b49	0x26	&
0x0b4a	0x63	c
0x0b4b	0x33	3
